date,job_search,outside_eng,stress,sleep,social_media,day_to_grad
4/25/2026,32,0,1,7,89,50
4/26/2026,10,6,1,8,80,49
4/27/2026,0,7,3,8,54,48
4/28/2026,5,6,2,7,96,47
4/29/2026,10,4,4,8,75,46
4/30/2026,5,5,2,7,145,45
5/1/2026,20,2,0,6,52,44
5/2/2026,0,5,1,7,80,43
5/3/2026,20,0,2,6,174,42
5/4/2026,0,7,5,8,79,41
5/5/2026,0,6,0,7,17,40
5/6/2026,10,1,1,8,69,39
5/7/2026,10,7,2,7,69,38
5/8/2026,180,0,2,8,108,37
5/9/2026,10,0,3,7,45,36
5/10/2026,20,0,2,7,19,35
5/11/2026,60,6,4,7,71,34
5/12/2026,10,6,0,7,74,33
5/13/2026,0,2,3,7,104,32
5/14/2026,0,10,5,6,47,31
5/15/2026,90,6,0,8,79,30
5/16/2026,60,6,0,8,50,29
5/17/2026,5,0,1,8,47,28
5/18/2026,20,4,3,7,126,27
5/19/2026,15,5,1,7,83,26
5/20/2026,20,3,1,8,74,25
5/21/2026,5,3,1,8,42,23
5/22/2026,5,6,0,6,61,22
5/23/2026,45,0,0,10,114,21
5/24/2026,60,0,0,5,47,20
5/25/2026,10,0,2,7,31,19
5/26/2026,30,5,0,7,47,18
5/27/2026,5,2,3,8,41,17